Boundary Type,Boundary Name,Population 2006,Land Area Km,Population Density 2006
Neighbourhood,Central Park,3555,0.232698,15277.31222
Neighbourhood,Broadway-Assiniboine,5080,0.341052,14895.08931
Neighbourhood,Roslyn,4145,0.31315,13236.46815
Neighbourhood,Alpine Place,3515,0.3183,11043.04116
Neighbourhood,China Town,605,0.06567,9212.730318
Neighbourhood,Spence,4260,0.483785,8805.564455
Neighbourhood,West Broadway,5325,0.674405,7895.848934
Neighbourhood,Daniel Mcintyre,9750,1.274601,7649.452652
Neighbourhood,St. Matthews,5795,0.851754,6803.607614
Neighbourhood,Portage-Ellice,1105,0.169471,6520.289607
Neighbourhood,Mcmillan,3420,0.569211,6008.316775
Neighbourhood,Colony,715,0.125468,5698.664201
Neighbourhood,River-Osborne,4880,0.873156,5588.921109
Neighbourhood,William Whyte,6220,1.161163,5356.698414
Neighbourhood,Edgeland,1420,0.270556,5248.451337
Ward,Daniel McIntyre,43995,8.52666,5159.699108
Neighbourhood,St. John's,7725,1.548992,4987.114201
Neighbourhood,Inkster-Faraday,4135,0.838967,4928.680151
Neighbourhood,The Maples,13335,2.938551,4537.950847
Neighbourhood,Burrows Central,4805,1.070637,4487.982388
Neighbourhood,Wolseley,7610,1.731133,4395.964955
Neighbourhood,Earl Grey,4410,1.010325,4364.932076
Neighbourhood,Rockwood,4205,0.96877,4340.55555
Neighbourhood,Valhalla,2905,0.673779,4311.502733
City,Downtown Winnipeg,13470,3.144991,4283.001128
Neighbourhood,Tyndall Park,12775,3.008168,4246.770792
Neighbourhood,Centennial,2225,0.532741,4176.51354
Neighbourhood,Munroe East,8460,2.026718,4174.236376
Neighbourhood,Montcalm,4620,1.131083,4084.580884
Neighbourhood Cluster,Point Douglas North Neighbourhood Cluster,25360,6.255334,4054.140035
Neighbourhood,Weston,5810,1.435261,4048.044223
Neighbourhood,Burrows-Keewatin,2760,0.684878,4029.914817
Neighbourhood Cluster,Downtown West Neighbourhood Cluster,34900,8.76009,3983.977334
City,Inner City,121615,30.538989,3982.286382
Community Area,Downtown Community Area,64860,16.324619,3973.1402
Neighbourhood Cluster,Downtown East Neighbourhood Cluster,29960,7.564529,3960.590276
Neighbourhood,Luxton,2565,0.648639,3954.433822
Neighbourhood,Pembina Strip,2815,0.714396,3940.391604
Neighbourhood,Talbot-Grey,2295,0.600089,3824.432709
Neighbourhood,Chalmers,9475,2.522547,3756.124266
Neighbourhood Cluster,River Heights East Neighbourhood Cluster,21750,5.889293,3693.142793
Neighbourhood,Worthington,5425,1.472489,3684.238049
Neighbourhood,Maginot,1585,0.436634,3630.042553
Neighbourhood,J. B. Mitchell,2095,0.585282,3579.471093
Neighbourhood,Mynarski,1350,0.378307,3568.530321
Neighbourhood,Valley Gardens,8250,2.348868,3512.330195
Neighbourhood,Parc La Salle,2165,0.617951,3503.514033
Neighbourhood,Jefferson,8280,2.367146,3497.883105
Neighbourhood,East Elmwood,3110,0.895978,3471.06737
Community Area,Point Douglas Community Area,37615,10.873305,3459.389762
Neighbourhood,Mathers,2605,0.76028,3426.369232
Neighbourhood,Minto,5360,1.581739,3388.675376
Neighbourhood,Rossmere-A,13350,3.981294,3353.181152
Neighbourhood,King Edward,5340,1.593361,3351.406241
Neighbourhood,Heritage Park,5500,1.669784,3293.839203
Neighbourhood,Mandalay West,5085,1.544172,3293.026943
Neighbourhood,North River Heights,5660,1.72579,3279.657432
Neighbourhood,Kildare-Redonda,6490,2.006422,3234.613656
