Boundary Type,Boundary Name,Population 2016,Population Density 2016,Year opened,Aboriginal,Aboriginal Percent,Visible Minorities Names,Visible Minorities Numbers,Visible Minorities Percent,Visible Minorities Total Number,Visible Minorities Total Percent,Citizenship Numbers,Citizenship Percent,Education Numbers,Education Percent,Unemployment Rate
Neighbourhood,Agassiz,365,614.3653773970769,1971,10,0.0273972602739726,"['Chinese', 'West Asian', 'Filipino']","[50, 10, 0]","[0.8333333333333334, 0.16666666666666666, 0]",60,0.1643835616438356,"[320, 45]","[0.8767123287671232, 0.1232876712328767]","[30, 75, 230]","[0.08955223880597014, 0.22388059701492538, 0.6865671641791045]",0.08
Neighbourhood,Airport,130,12.56423222103152,1971,0,0.0,"['Arab', 'Southeast Asian', 'Latin American']","[20, 10, 10]","[0.5, 0.25, 0.25]",40,0.3076923076923077,"[125, 10]","[0.9259259259259259, 0.07407407407407407]","[0, 30, 90]","[0, 0.25, 0.75]",0.0
Neighbourhood,Alpine Place,3895,12236.88344329249,1971,475,0.12195121951219512,"['Black', 'South Asian', 'Filipino']","[630, 260, 145]","[0.5228215767634855, 0.2157676348547718, 0.12033195020746888]",1205,0.30937098844672656,"[2995, 905]","[0.767948717948718, 0.23205128205128206]","[840, 885, 1565]","[0.2553191489361702, 0.2689969604863222, 0.4756838905775076]",0.09
Neighbourhood,Amber Trails,8415,4223.716961272807,1991,320,0.038027332144979206,"['South Asian', 'Filipino', 'Multiple visible minorities']","[2925, 2810, 200]","[0.44150943396226416, 0.4241509433962264, 0.03018867924528302]",6625,0.7872846108140226,"[6515, 1900]","[0.774212715389186, 0.22578728461081402]","[930, 1975, 3460]","[0.14611154752553024, 0.3102906520031422, 0.5435978004713276]",0.06
Neighbourhood,Archwood,740,811.6073005173448,1971,130,0.17567567567567569,"['Chinese', 'Visible minority not included elsewhere', 'Filipino']","[10, 10, 0]","[0.5, 0.5, 0]",20,0.02702702702702703,"[725, 15]","[0.9797297297297297, 0.02027027027027027]","[105, 210, 325]","[0.1640625, 0.328125, 0.5078125]",0.0
Neighbourhood,Armstrong Point,370,1391.0768062380394,1971,10,0.02702702702702703,"['South Asian', 'Chinese', 'Black']","[20, 15, 10]","[0.36363636363636365, 0.2727272727272727, 0.18181818181818182]",55,0.14864864864864866,"[360, 10]","[0.972972972972973, 0.02702702702702703]","[20, 45, 245]","[0.06451612903225806, 0.14516129032258066, 0.7903225806451613]",0.04
Neighbourhood,Assiniboia Downs,415,106.04432192705275,2011,15,0.03614457831325301,"['Filipino', 'Latin American', 'Korean']","[10, 10, 10]","[0.25, 0.25, 0.25]",40,0.0963855421686747,"[415, 0]","[1, 0]","[40, 100, 210]","[0.11428571428571428, 0.2857142857142857, 0.6]",0.04
Neighbourhood,Beaumont,2310,1915.9582735805943,1971,330,0.14285714285714285,"['Black', 'Filipino', 'South Asian']","[145, 135, 110]","[0.26605504587155965, 0.24770642201834864, 0.2018348623853211]",545,0.23593073593073594,"[2155, 150]","[0.9349240780911063, 0.0650759219088937]","[330, 610, 980]","[0.171875, 0.3177083333333333, 0.5104166666666666]",0.07
Neighbourhood,Betsworth,4040,1853.939828639057,1971,225,0.05569306930693069,"['Filipino', 'South Asian', 'Black']","[105, 65, 35]","[0.29577464788732394, 0.18309859154929578, 0.09859154929577464]",355,0.08787128712871287,"[3900, 150]","[0.9629629629629629, 0.037037037037037035]","[380, 905, 2140]","[0.11094890510948906, 0.26423357664233577, 0.6248175182481752]",0.03
Neighbourhood,Birchwood,2170,2683.6208847539415,1971,210,0.0967741935483871,"['Filipino', 'South Asian', 'Korean']","[225, 40, 35]","[0.5294117647058824, 0.09411764705882353, 0.08235294117647059]",425,0.195852534562212,"[1945, 230]","[0.8942528735632184, 0.10574712643678161]","[265, 655, 1015]","[0.13695090439276486, 0.3385012919896641, 0.524547803617571]",0.07
Neighbourhood,Booth,5465,2914.3822229617053,1971,630,0.11527904849039342,"['Filipino', 'South Asian', 'Black']","[280, 175, 130]","[0.3522012578616352, 0.22012578616352202, 0.16352201257861634]",795,0.1454711802378774,"[5055, 405]","[0.9258241758241759, 0.07417582417582418]","[815, 1530, 2345]","[0.17377398720682302, 0.326226012793177, 0.5]",0.07
Neighbourhood,Bridgwater Centre,250,384.1166239528981,2016,15,0.06,"['Chinese', 'South Asian', 'Filipino']","[70, 50, 40]","[0.3684210526315789, 0.2631578947368421, 0.21052631578947367]",190,0.76,"[110, 140]","[0.44, 0.56]","[10, 40, 120]","[0.058823529411764705, 0.23529411764705882, 0.7058823529411765]",0.0
Neighbourhood,Bridgwater Forest,4520,2754.325723391355,2011,120,0.026548672566371685,"['Chinese', 'South Asian', 'Filipino']","[1225, 580, 220]","[0.44626593806921677, 0.21129326047358835, 0.08014571948998178]",2745,0.6073008849557522,"[3290, 1225]","[0.7286821705426356, 0.2713178294573643]","[335, 750, 2410]","[0.09585121602288985, 0.2145922746781116, 0.6895565092989986]",0.06
Neighbourhood,Bridgwater Lakes,2365,1217.0383307894745,2016,55,0.023255813953488372,"['Chinese', 'South Asian', 'Filipino']","[635, 310, 175]","[0.41776315789473684, 0.20394736842105263, 0.11513157894736842]",1520,0.642706131078224,"[1820, 545]","[0.7695560253699789, 0.23044397463002114]","[165, 425, 1165]","[0.09401709401709402, 0.24216524216524216, 0.6638176638176638]",0.04
Neighbourhood,Bridgwater Trails,265,164.12164572515755,2016,10,0.03773584905660377,"['Black', 'Chinese', 'South Asian']","[60, 40, 25]","[0.48, 0.32, 0.2]",125,0.4716981132075472,"[175, 90]","[0.660377358490566, 0.33962264150943394]","[10, 40, 120]","[0.058823529411764705, 0.23529411764705882, 0.7058823529411765]",0.0
Neighbourhood,Broadway-Assiniboine,5270,15452.189108992176,1981,720,0.1366223908918406,"['Black', 'Filipino', 'South Asian']","[505, 340, 205]","[0.3146417445482866, 0.2118380062305296, 0.1277258566978193]",1605,0.3045540796963947,"[4125, 1140]","[0.7834757834757835, 0.21652421652421652]","[575, 1340, 3050]","[0.11581067472306143, 0.26988922457200404, 0.6143001007049346]",0.08
Neighbourhood,Brockville,1000,1420.8682926136162,1986,40,0.04,"['Korean', 'South Asian', 'Black']","[70, 55, 20]","[0.4, 0.3142857142857143, 0.11428571428571428]",175,0.175,"[900, 105]","[0.8955223880597015, 0.1044776119402985]","[120, 265, 540]","[0.12972972972972974, 0.2864864864864865, 0.5837837837837838]",0.06
Neighbourhood,Brooklands,2820,3395.4099355474136,1971,735,0.26063829787234044,"['Filipino', 'South Asian', 'Multiple visible minorities']","[870, 150, 85]","[0.7219917012448133, 0.12448132780082988, 0.07053941908713693]",1205,0.42730496453900707,"[2345, 475]","[0.8315602836879432, 0.16843971631205673]","[630, 695, 925]","[0.28, 0.3088888888888889, 0.4111111111111111]",0.1
Neighbourhood,Bruce Park,2135,2424.7118454271754,1971,145,0.06791569086651053,"['Filipino', 'South Asian', 'Black']","[90, 55, 50]","[0.35294117647058826, 0.21568627450980393, 0.19607843137254902]",255,0.11943793911007025,"[1975, 160]","[0.9250585480093677, 0.07494145199063232]","[250, 525, 1155]","[0.12953367875647667, 0.27202072538860106, 0.5984455958549223]",0.06
Neighbourhood,Buchanan,2980,2508.381614067812,1971,450,0.15100671140939598,"['Black', 'Filipino', 'Arab']","[85, 75, 35]","[0.32075471698113206, 0.2830188679245283, 0.1320754716981132]",265,0.08892617449664429,"[2885, 90]","[0.9697478991596639, 0.030252100840336135]","[440, 920, 1065]","[0.18144329896907216, 0.37938144329896906, 0.43917525773195876]",0.05
Neighbourhood,Burrows Central,5415,5057.736655841335,1971,930,0.17174515235457063,"['Filipino', 'Southeast Asian', 'Multiple visible minorities']","[2325, 195, 125]","[0.8259325044404974, 0.06927175843694494, 0.04440497335701599]",2815,0.5198522622345337,"[4390, 1020]","[0.8114602587800369, 0.18853974121996303]","[1275, 1210, 1885]","[0.2917620137299771, 0.2768878718535469, 0.43135011441647597]",0.08
Neighbourhood,Burrows-Keewatin,3015,4402.263186712904,1971,1010,0.33499170812603646,"['Filipino', 'Black', 'Visible minority not included elsewhere']","[920, 140, 40]","[0.7896995708154506, 0.12017167381974249, 0.034334763948497854]",1165,0.3864013266998342,"[2630, 385]","[0.8723051409618574, 0.12769485903814262]","[710, 705, 835]","[0.31555555555555553, 0.31333333333333335, 0.3711111111111111]",0.07
Neighbourhood,Canterbury Park,8005,2570.967371035716,1976,830,0.10368519675202999,"['Filipino', 'Black', 'Latin American']","[705, 360, 165]","[0.43653250773993807, 0.22291021671826625, 0.1021671826625387]",1615,0.20174890693316677,"[7670, 345]","[0.9569557080474111, 0.043044291952588895]","[970, 2180, 2965]","[0.15862632869991825, 0.3565004088307441, 0.4848732624693377]",0.06
Neighbourhood,Centennial,2830,5312.149806378709,1971,955,0.3374558303886926,"['Black', 'Filipino', 'Southeast Asian']","[420, 365, 190]","[0.29577464788732394, 0.25704225352112675, 0.13380281690140844]",1420,0.5017667844522968,"[2140, 695]","[0.7548500881834215, 0.24514991181657847]","[890, 490, 600]","[0.4494949494949495, 0.2474747474747475, 0.30303030303030304]",0.19
Neighbourhood,Central Park,3775,16221.907094667182,2001,675,0.17880794701986752,"['Black', 'Filipino', 'South Asian']","[1065, 850, 185]","[0.426, 0.34, 0.074]",2500,0.6622516556291391,"[2535, 1245]","[0.6706349206349206, 0.32936507936507936]","[855, 855, 1255]","[0.28836424957841483, 0.28836424957841483, 0.42327150084317033]",0.1
