Boundary Type,Boundary Name,Population 2016,Population Density 2016,Year opened,Aboriginal,Aboriginal Percent,Visible Minorities Numbers,Visible Minorities Percent,Visible Minorities Total Number,Visible Minorities Total Percent,Citizenship Numbers,Citizenship Percent,Education Numbers,Education Percent,Unemployment Rate,Period of Construction,Period of Construction Percent,Period of Construction Name,Household Type,Own vs Rent,Own vs Rent Percent,Bad Dwelling,Bad Dwelling Percent,Average and Median Household Income,Commuting Method,Commuting Method Percent,LIM-AT,LICO-AT
Neighbourhood,Agassiz,365,614.3653773970769,1971,10,0.0273972602739726,"[0, 0, 0, 50, 0, 0, 0, 0, 10, 0, 0, 0]","[0, 0, 0, 0.8333333333333334, 0, 0, 0, 0, 0.16666666666666666, 0, 0, 0]",60,0.1643835616438356,"[320, 45]","[0.8767123287671232, 0.1232876712328767]","[30, 75, 230]","[0.08955223880597014, 0.22388059701492538, 0.6865671641791045]",0.08,"[110, 45, 0]","[0.7096774193548387, 0.2903225806451613, 0]","['1961 to 1980', '1960 or before', '1981 to 1990']","[155, 0, 0]","[150, 0]","[1, 0]",10,0.06451612903225806,"[106315, 85846]","[105, 45]","[0.7, 0.3]",0.1095890410958904,0.0821917808219178
Neighbourhood,Airport,130,12.56423222103152,1971,0,0.0,"[0, 0, 0, 0, 10, 10, 20, 0, 0, 0, 0, 0]","[0, 0, 0, 0, 0.25, 0.25, 0.5, 0, 0, 0, 0, 0]",40,0.3076923076923077,"[125, 10]","[0.9259259259259259, 0.07407407407407407]","[0, 30, 90]","[0, 0.25, 0.75]",0.0,"[35, 25, 15]","[0.4666666666666667, 0.3333333333333333, 0.2]","['1960 or before', '1961 to 1980', '1981 to 1990']","[70, 0, 0]","[0, 75]","[0, 1]",10,0.14285714285714285,"[0, 0]","[55, 45]","[0.55, 0.44999999999999996]",0.0,0.0
Neighbourhood,Alpine Place,3895,12236.88344329249,1971,475,0.12195121951219512,"[145, 260, 630, 15, 0, 35, 35, 15, 10, 0, 10, 50]","[0.12033195020746888, 0.2157676348547718, 0.5228215767634855, 0.012448132780082987, 0, 0.029045643153526972, 0.029045643153526972, 0.012448132780082987, 0.008298755186721992, 0, 0.008298755186721992, 0.04149377593360996]",1205,0.30937098844672656,"[2995, 905]","[0.767948717948718, 0.23205128205128206]","[840, 885, 1565]","[0.2553191489361702, 0.2689969604863222, 0.4756838905775076]",0.09,"[1345, 390, 350]","[0.5964523281596452, 0.1729490022172949, 0.15521064301552107]","['1961 to 1980', '1960 or before', '1981 to 1990']","[100, 2155, 0]","[90, 2165]","[0.03991130820399113, 0.9600886917960089]",160,0.07095343680709534,"[44114, 37015]","[855, 575]","[0.5979020979020979, 0.40209790209790214]",0.3119383825417201,0.24390243902439024
Neighbourhood,Amber Trails,8415,4223.716961272807,1991,320,0.038027332144979206,"[2810, 2925, 125, 180, 165, 60, 10, 0, 50, 10, 200, 90]","[0.4241509433962264, 0.44150943396226416, 0.018867924528301886, 0.027169811320754716, 0.02490566037735849, 0.009056603773584906, 0.0015094339622641509, 0, 0.007547169811320755, 0.0015094339622641509, 0.03018867924528302, 0.013584905660377358]",6625,0.7872846108140226,"[6515, 1900]","[0.774212715389186, 0.22578728461081402]","[930, 1975, 3460]","[0.14611154752553024, 0.3102906520031422, 0.5435978004713276]",0.06,"[1105, 490, 225]","[0.5299760191846523, 0.23501199040767387, 0.1079136690647482]","['2011 to 2016', '2006 to 2010', '2001 to 2005']","[1815, 260, 0]","[1760, 320]","[0.8461538461538461, 0.15384615384615385]",0,0.0,"[110020, 100670]","[3410, 885]","[0.7939464493597206, 0.20605355064027941]",0.11883541295306001,0.0766488413547237
Neighbourhood,Archwood,740,811.6073005173448,1971,130,0.17567567567567569,"[0, 0, 0, 10, 0, 0, 0, 0, 0, 0, 0, 10]","[0, 0, 0, 0.5, 0, 0, 0, 0, 0, 0, 0, 0.5]",20,0.02702702702702703,"[725, 15]","[0.9797297297297297, 0.02027027027027027]","[105, 210, 325]","[0.1640625, 0.328125, 0.5078125]",0.0,"[310, 35, 15]","[0.8611111111111112, 0.09722222222222222, 0.041666666666666664]","['1960 or before', '1961 to 1980', '1981 to 1990']","[340, 25, 0]","[320, 40]","[0.8888888888888888, 0.1111111111111111]",30,0.08333333333333333,"[74643, 65624]","[385, 70]","[0.8461538461538461, 0.15384615384615385]",0.08108108108108109,0.08783783783783784
Neighbourhood,Armstrong Point,370,1391.0768062380394,1971,10,0.02702702702702703,"[0, 20, 10, 15, 0, 0, 0, 0, 0, 0, 10, 0]","[0, 0.36363636363636365, 0.18181818181818182, 0.2727272727272727, 0, 0, 0, 0, 0, 0, 0.18181818181818182, 0]",55,0.14864864864864866,"[360, 10]","[0.972972972972973, 0.02702702702702703]","[20, 45, 245]","[0.06451612903225806, 0.14516129032258066, 0.7903225806451613]",0.04,"[135, 10, 10]","[0.8709677419354839, 0.06451612903225806, 0.06451612903225806]","['1960 or before', '1961 to 1980', '2006 to 2010']","[120, 20, 0]","[135, 20]","[0.8709677419354839, 0.12903225806451613]",25,0.16129032258064516,"[147787, 135050]","[175, 70]","[0.7142857142857143, 0.2857142857142857]",0.08108108108108109,0.0945945945945946
Neighbourhood,Assiniboia Downs,415,106.04432192705275,2011,15,0.03614457831325301,"[10, 0, 0, 0, 0, 10, 0, 10, 0, 0, 0, 10]","[0.25, 0, 0, 0, 0, 0.25, 0, 0.25, 0, 0, 0, 0.25]",40,0.0963855421686747,"[415, 0]","[1, 0]","[40, 100, 210]","[0.11428571428571428, 0.2857142857142857, 0.6]",0.04,"[85, 60, 0]","[0.5862068965517241, 0.41379310344827586, 0]","['2006 to 2010', '2011 to 2016', '1960 or before']","[140, 0, 10]","[145, 0]","[1, 0]",0,0.0,"[0, 0]","[195, 20]","[0.9069767441860465, 0.09302325581395349]",0.024390243902439025,0.0
Neighbourhood,Beaumont,2310,1915.9582735805943,1971,330,0.14285714285714285,"[135, 110, 145, 80, 0, 15, 20, 15, 10, 0, 15, 0]","[0.24770642201834864, 0.2018348623853211, 0.26605504587155965, 0.14678899082568808, 0, 0.027522935779816515, 0.03669724770642202, 0.027522935779816515, 0.01834862385321101, 0, 0.027522935779816515, 0]",545,0.23593073593073594,"[2155, 150]","[0.9349240780911063, 0.0650759219088937]","[330, 610, 980]","[0.171875, 0.3177083333333333, 0.5104166666666666]",0.07,"[445, 375, 30]","[0.489010989010989, 0.41208791208791207, 0.03296703296703297]","['1960 or before', '1961 to 1980', '1981 to 1990']","[910, 0, 0]","[760, 150]","[0.8351648351648352, 0.16483516483516483]",105,0.11602209944751381,"[85232, 79658]","[915, 310]","[0.746938775510204, 0.2530612244897959]",0.08874458874458875,0.10173160173160173
Neighbourhood,Betsworth,4040,1853.939828639057,1971,225,0.05569306930693069,"[105, 65, 35, 15, 0, 30, 0, 30, 35, 20, 10, 10]","[0.29577464788732394, 0.18309859154929578, 0.09859154929577464, 0.04225352112676056, 0, 0.08450704225352113, 0, 0.08450704225352113, 0.09859154929577464, 0.056338028169014086, 0.028169014084507043, 0.028169014084507043]",355,0.08787128712871287,"[3900, 150]","[0.9629629629629629, 0.037037037037037035]","[380, 905, 2140]","[0.11094890510948906, 0.26423357664233577, 0.6248175182481752]",0.03,"[860, 395, 135]","[0.5830508474576271, 0.2677966101694915, 0.09152542372881356]","['1961 to 1980', '1981 to 1990', '1960 or before']","[1415, 80, 0]","[1440, 50]","[0.9664429530201343, 0.03355704697986577]",100,0.06734006734006734,"[118028, 105118]","[1740, 455]","[0.7927107061503417, 0.20728929384965833]",0.030902348578491966,0.030902348578491966
Neighbourhood,Birchwood,2170,2683.6208847539415,1971,210,0.0967741935483871,"[225, 40, 20, 20, 20, 10, 25, 35, 0, 10, 20, 0]","[0.5294117647058824, 0.09411764705882353, 0.047058823529411764, 0.047058823529411764, 0.047058823529411764, 0.023529411764705882, 0.058823529411764705, 0.08235294117647059, 0, 0.023529411764705882, 0.047058823529411764, 0]",425,0.195852534562212,"[1945, 230]","[0.8942528735632184, 0.10574712643678161]","[265, 655, 1015]","[0.13695090439276486, 0.3385012919896641, 0.524547803617571]",0.07,"[580, 420, 55]","[0.5155555555555555, 0.37333333333333335, 0.04888888888888889]","['1961 to 1980', '1960 or before', '1991 to 2000']","[305, 830, 0]","[330, 800]","[0.2920353982300885, 0.7079646017699115]",100,0.0881057268722467,"[70549, 54816]","[730, 355]","[0.6728110599078341, 0.3271889400921659]",0.14516129032258066,0.10599078341013825
Neighbourhood,Booth,5465,2914.3822229617053,1971,630,0.11527904849039342,"[280, 175, 130, 50, 0, 15, 30, 55, 0, 10, 20, 30]","[0.3522012578616352, 0.22012578616352202, 0.16352201257861634, 0.06289308176100629, 0, 0.018867924528301886, 0.03773584905660377, 0.06918238993710692, 0, 0.012578616352201259, 0.025157232704402517, 0.03773584905660377]",795,0.1454711802378774,"[5055, 405]","[0.9258241758241759, 0.07417582417582418]","[815, 1530, 2345]","[0.17377398720682302, 0.326226012793177, 0.5]",0.07,"[1750, 495, 235]","[0.6505576208178439, 0.18401486988847585, 0.08736059479553904]","['1961 to 1980', '1960 or before', '1981 to 1990']","[1110, 1575, 0]","[1120, 1560]","[0.417910447761194, 0.582089552238806]",190,0.07076350093109869,"[69841, 59663]","[1815, 770]","[0.7021276595744681, 0.29787234042553196]",0.1401098901098901,0.11721611721611722
Neighbourhood,Bridgwater Centre,250,384.1166239528981,2016,15,0.06,"[40, 50, 20, 70, 0, 0, 0, 0, 10, 0, 0, 0]","[0.21052631578947367, 0.2631578947368421, 0.10526315789473684, 0.3684210526315789, 0, 0, 0, 0, 0.05263157894736842, 0, 0, 0]",190,0.76,"[110, 140]","[0.44, 0.56]","[10, 40, 120]","[0.058823529411764705, 0.23529411764705882, 0.7058823529411765]",0.0,"[80, 0, 0]","[1, 0, 0]","['2011 to 2016', '1960 or before', '1961 to 1980']","[75, 0, 0]","[65, 10]","[0.8666666666666667, 0.13333333333333333]",0,0.0,"[0, 0]","[115, 0]","[1, 0.0]",0.0,0.0
Neighbourhood,Bridgwater Forest,4520,2754.325723391355,2011,120,0.026548672566371685,"[220, 580, 190, 1225, 95, 50, 75, 130, 65, 10, 85, 20]","[0.08014571948998178, 0.21129326047358835, 0.0692167577413479, 0.44626593806921677, 0.03460837887067395, 0.018214936247723135, 0.0273224043715847, 0.04735883424408015, 0.023679417122040074, 0.0036429872495446266, 0.030965391621129327, 0.007285974499089253]",2745,0.6073008849557522,"[3290, 1225]","[0.7286821705426356, 0.2713178294573643]","[335, 750, 2410]","[0.09585121602288985, 0.2145922746781116, 0.6895565092989986]",0.06,"[1065, 385, 10]","[0.7294520547945206, 0.2636986301369863, 0.00684931506849315]","['2011 to 2016', '2006 to 2010', '1961 to 1980']","[1145, 320, 0]","[1200, 265]","[0.8191126279863481, 0.18088737201365188]",0,0.0,"[121810, 100663]","[1820, 415]","[0.814317673378076, 0.18568232662192397]",0.18805309734513273,0.18141592920353983
