Boundary Type,Boundary Name,Population 2016,Population Density 2016,Year opened,Aboriginal,Aboriginal Percent,Visible Minorities Numbers,Visible Minorities Percent,Visible Minorities Total Number,Visible Minorities Total Percent,Citizenship Numbers,Citizenship Percent,Education Numbers,Education Percent,Unemployment Rate,Period of Construction,Period of Construction Percent,Period of Construction Name,Household Type,Own vs Rent,Own vs Rent Percent,Bad Dwelling,Bad Dwelling Percent,Average and Median Household Income,Commuting Method,Commuting Method Percent,LIM-AT,LICO-AT
Neighbourhood,West Perimeter South,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Griffin,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,The Forks,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Portage & Main,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Buffalo,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Parker,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,West Fort Garry Industrial,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,La Barriere,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Perrault,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Trappistes,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Turnbull Drive,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,University,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Waverley West B,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Oak Point Highway,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Pacific Industrial,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Weston Shops,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Inkster Industrial Park,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
Neighbourhood,Dufferin Industrial,0,0,1971,0,0,"[0, 0, 0]","[0, 0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0, 0]","[0, 0, 0]",0,"[0, 0, 0]","[0, 0, 0]","["""", """", """"]","[0, 0, 0]","[0, 0]","[0, 0]",0,0,"[0, 0]","[0, 0]","[0, 0]",0,0
